svc_usage_tol,system_workload_tol,ltcy
0.286,1.58,0.49
0.071,2.467,0.49
1.615,2.266,0.831
1.52,2.934,0.728
1.321,1.8,0.728
1.228,1.729,0.663
2.441,2.421,0.663
-0.019,2.679,0.656
0.808,2.704,0.714
0.881,2.086,1.118
0.161,1.679,1.145
0.056,1.97,0.98
-0.089,3.428,0.742
1.886,2.006,0.548
1.94,2.57,0.51
1.002,1.57,0.775
0.318,1.401,0.632
-0.396,1.833,0.806
-0.296,1.971,0.806
2.443,2.575,0.806
3.301,2.641,0.831
0.752,1.694,0.781
0.549,2.014,0.872
0.357,2.045,0.787
0.039,2.771,0.812
1.961,2.138,0.849
2.026,2.276,0.975
1.484,3.036,0.98
2.032,1.543,0.98
0.544,2.232,0.837
0.664,2.329,0.775
1.314,0.799,0.775
-0.249,1.547,0.964
1.862,2.607,0.995
1.206,2.157,1.0
0.13,1.422,0.877
1.036,1.823,0.64
2.333,2.351,0.748
2.554,2.36,0.748
0.626,3.756,0.933
3.592,2.966,0.959
1.75,2.044,0.959
2.001,2.122,0.959
0.817,1.773,0.787
2.943,2.102,0.787
2.156,2.081,0.624
1.561,2.122,0.624
0.354,1.729,1.095
0.847,2.042,0.922
-0.253,1.793,0.9
2.156,2.278,0.806
1.546,2.275,0.831
1.481,2.56,0.693
-0.27,2.379,0.693
-1.771,1.069,0.748
2.371,1.685,0.748
2.524,2.279,0.837
1.277,2.204,0.748
1.927,2.189,0.678
3.513,2.267,0.693
2.225,1.462,0.943
-0.122,0.963,0.959
1.563,1.15,0.964
2.526,2.114,0.728
1.784,2.683,0.728
0.615,1.927,0.843
1.053,2.606,0.86
3.578,3.175,0.86
1.181,2.674,0.849
-1.079,3.533,0.831
1.443,1.461,0.825
3.042,2.713,0.825
0.472,3.138,0.762
-0.07,2.884,0.762
0.709,1.514,0.97
0.73,1.518,0.975
-1.025,2.316,0.707
2.611,2.848,0.656
3.094,2.403,0.648
-0.86,1.51,0.648
-1.722,2.875,1.183
0.761,2.564,1.183
0.929,2.661,0.917
-0.533,1.843,0.825
3.381,2.578,0.707
3.283,2.183,0.837
0.043,1.119,0.837
2.147,2.303,0.894
1.838,2.354,0.889
2.5,2.024,0.86
1.61,3.716,0.64
0.057,2.351,0.64
0.641,2.686,0.837
2.589,2.327,0.877
2.381,2.59,0.831
1.883,2.661,0.906
0.386,3.363,0.99
3.492,2.217,1.162
3.393,1.941,1.058
1.984,2.604,0.99
-0.448,1.55,0.99
2.308,1.917,0.911
1.423,1.958,0.693
2.498,2.445,0.693
1.337,2.51,0.686
1.19,2.364,0.678
2.026,2.278,0.678
2.118,1.882,0.781
1.853,1.321,0.768
2.481,2.405,0.735
2.84,2.472,0.849
3.013,2.322,0.849
2.824,2.673,1.058
0.757,1.499,0.843
2.753,1.979,0.656
-0.585,2.979,0.883
1.101,2.621,0.911
2.138,2.338,0.877
0.52,3.272,0.849
1.956,2.616,1.02
0.469,2.54,0.883
0.896,2.245,0.7
1.904,2.056,0.671
2.034,1.842,0.787
1.882,2.607,0.707
1.724,2.439,0.678
1.69,2.849,0.949
1.473,2.109,0.906
2.102,2.194,0.812
3.267,2.447,1.212
0.496,2.428,0.917
2.348,2.933,0.742
3.694,2.211,0.686
1.739,2.932,0.648
-0.022,1.92,0.7
1.823,2.668,0.883
1.847,2.155,0.877
0.773,1.953,0.877
0.262,0.877,0.686
3.527,0.917,0.707
2.285,2.334,0.849
2.013,1.795,0.781
0.776,2.324,0.671
3.583,3.203,0.671
0.35,2.937,0.794
1.052,2.164,0.883
0.734,4.072,0.883
0.635,4.027,0.794
0.078,3.821,0.707
1.097,3.484,0.707
1.821,1.684,0.906
0.749,1.953,0.819
-0.171,1.234,0.7
0.525,1.613,0.849
1.502,1.953,0.825
2.48,2.432,0.7
3.167,0.8,0.721
1.318,1.517,0.806
-0.413,1.923,0.837
1.627,2.426,0.837
1.931,2.545,0.7
2.649,1.947,0.671
3.752,2.231,0.995
3.313,2.661,1.1
3.813,2.287,0.964
1.543,1.556,0.964
3.273,1.872,0.7
2.724,2.448,0.8
0.407,2.074,0.86
1.412,3.488,0.9
3.18,2.527,0.9
3.476,2.143,0.831
2.529,3.298,0.806
0.022,2.883,0.806
3.376,2.219,0.787
2.919,2.02,0.825
3.97,1.563,0.849
1.619,2.556,0.849
2.778,2.702,0.775
2.654,1.723,0.775
1.663,1.537,0.819
0.439,3.666,0.787
3.11,3.698,0.755
3.047,3.067,0.927
4.893,3.182,0.975
0.451,2.997,1.105
0.61,2.455,0.889
1.275,2.371,0.975
0.729,1.784,0.97
2.779,2.24,1.058
2.777,2.229,0.959
3.532,2.414,0.894
3.083,2.104,0.721
0.926,2.948,0.843
0.721,1.867,0.922
3.346,2.487,1.063
3.408,2.673,1.015
1.344,2.522,0.954
0.993,2.561,0.812
1.326,3.517,0.917
0.541,3.411,0.866
2.282,3.498,0.819
4.562,3.018,0.819
4.612,2.748,0.819
3.335,3.312,0.7
3.027,2.521,0.7
5.606,2.338,0.7
3.312,1.641,0.693
2.703,3.362,0.86
2.946,3.254,0.894
0.787,3.604,0.911
2.064,4.069,0.872
3.497,2.82,0.872
4.096,2.675,0.831
3.784,2.04,0.938
1.104,2.967,0.949
2.931,4.415,0.806
5.033,3.139,0.707
3.338,2.798,0.707
2.929,2.331,0.927
1.926,1.474,0.762
3.208,1.211,0.678
1.16,1.423,0.693
2.461,2.286,0.959
2.044,1.995,1.114
2.326,2.456,1.149
-1.199,1.887,0.98
3.397,2.313,0.7
4.394,3.006,0.825
3.45,2.479,0.825
3.548,2.972,0.872
3.545,2.497,0.995
1.135,3.68,0.775
1.57,2.604,0.812
2.723,2.555,0.693
0.781,2.356,0.693
3.217,2.436,0.707
2.499,2.405,0.7
3.059,1.497,0.825
-0.447,2.445,0.707
2.822,2.447,0.849
1.108,2.724,0.849
2.672,1.351,0.943
1.955,2.969,0.686
1.332,0.132,0.693
0.464,2.865,0.7
2.943,2.259,0.7
1.866,1.58,0.693
2.513,1.048,0.693
3.826,3.193,0.755
4.192,3.703,0.819
2.973,2.696,0.927
3.612,2.975,0.927
2.056,3.129,0.938
0.898,2.504,0.707
3.231,2.323,0.686
3.414,2.261,0.678
2.638,1.712,0.837
0.664,2.246,0.889
-0.116,2.236,0.911
0.531,2.067,0.889
3.435,2.227,1.072
4.66,3.071,1.082
4.114,2.795,1.068
3.248,2.027,0.938
1.621,3.339,0.938
0.786,1.53,0.917
3.865,3.765,0.917
3.203,2.296,0.959
3.156,1.839,0.959
3.633,2.421,0.943
2.708,2.83,0.922
2.382,1.728,0.995
1.405,1.549,0.954
2.953,1.679,0.849
4.47,2.259,0.686
-0.327,2.744,0.693
2.752,2.659,0.7
4.612,3.28,0.7
3.937,1.88,0.7
2.103,1.951,0.7
1.141,1.581,0.762
1.793,1.64,0.735
2.643,3.407,0.831
2.4,2.391,0.781
3.586,1.593,0.707
3.449,2.562,0.707
4.554,2.709,0.768
3.243,2.096,0.768
5.276,2.442,0.98
3.725,1.733,0.98
3.428,1.499,0.964
3.147,1.92,0.964
1.581,1.787,0.906
1.327,1.557,0.894
2.799,2.352,0.894
3.438,2.204,0.922
2.998,3.031,0.866
3.57,2.091,0.866
2.649,2.785,0.735
3.575,2.491,0.843
2.532,1.361,0.985
4.181,2.048,0.735
4.819,2.415,0.86
3.938,2.028,0.86
4.27,2.154,0.755
3.371,2.414,0.678
5.073,1.643,0.686
3.451,1.313,0.686
2.88,2.661,0.9
4.896,2.687,0.9
3.574,2.45,0.843
2.752,2.862,0.872
4.163,3.908,0.98
2.824,4.229,0.954
2.077,3.615,0.9
3.233,3.36,0.97
2.997,2.953,0.97
3.348,3.418,0.883
-0.006,1.997,0.854
0.632,2.126,0.975
0.888,2.759,0.872
-0.213,2.504,1.196
4.433,2.705,1.204
5.072,2.579,1.192
3.731,2.06,1.192
2.575,2.337,0.86
4.869,2.675,0.86
2.405,3.277,0.889
-0.266,2.059,0.837
1.622,3.009,0.86
2.195,2.901,0.707
0.409,3.584,0.894
2.392,3.091,0.894
2.496,3.936,0.917
1.781,3.239,0.906
4.887,2.742,1.086
4.43,3.715,1.072
5.334,3.821,1.072
4.319,2.982,0.872
4.416,2.974,0.812
5.161,3.867,0.922
3.904,2.56,0.99
4.722,2.894,0.975
4.541,2.993,0.906
5.288,3.53,0.872
3.538,2.526,0.933
0.862,2.091,0.794
5.69,2.179,0.985
3.38,2.892,0.985
2.547,2.789,1.0
2.796,1.85,0.943
5.297,2.73,0.7
5.545,2.827,0.831
3.665,2.442,1.058
3.072,3.666,1.187
3.211,3.994,1.217
-0.74,2.229,0.938
4.028,1.569,0.917
3.671,3.103,0.877
3.562,2.918,0.872
4.031,3.356,0.843
2.466,4.123,0.872
5.056,3.161,0.812
5.727,2.669,0.883
3.118,3.198,0.707
0.272,3.53,0.768
-1.933,2.584,0.825
4.277,2.964,0.755
0.522,2.814,0.849
1.645,2.641,0.781
3.526,2.23,0.806
4.743,3.544,0.906
4.039,3.589,0.911
5.509,3.293,0.866
-7.1,-0.652,0.49
-8.536,-0.921,0.5
-7.733,-1.188,0.648
-7.05,-1.421,0.5
-7.523,-1.425,0.49
-7.098,-1.304,0.8
-7.589,-1.835,0.843
-6.892,-1.052,0.742
-6.816,0.222,0.5
-4.584,-0.03,1.122
-5.574,-0.248,1.044
-3.528,0.402,0.748
-4.978,0.977,0.959
-4.071,0.864,0.959
-6.648,-4.351,0.49
-4.46,-4.468,0.616
-1.81,-4.381,0.8
-1.269,-4.461,0.985
-8.661,-3.891,0.663
-4.433,-3.474,0.5
-0.39,-1.518,0.686
4.322,-1.096,0.735
4.777,-0.208,0.985
5.756,-0.623,0.98
5.73,-0.89,0.975
6.571,-0.892,0.975
8.503,0.476,1.2
6.418,0.438,0.985
3.146,1.163,0.99
6.21,0.586,0.995
2.661,0.625,0.98
7.844,-0.849,0.975
8.12,-0.352,0.985
7.509,-0.251,1.127
8.486,-0.089,1.127
7.231,-1.011,0.995
8.596,-0.386,1.17
6.33,-0.486,1.17
5.597,0.779,1.158
3.913,-0.682,0.99
6.406,-0.055,0.964
2.843,0.246,1.145
6.998,0.027,1.14
5.458,0.156,1.208
2.583,0.349,0.995
3.394,0.474,1.183
7.492,-0.257,1.183
3.694,-1.14,0.99
4.707,-0.819,1.183
3.009,1.349,1.068
8.754,0.455,1.049
8.577,0.043,1.02
7.693,0.201,1.127
4.326,-0.635,0.99
-10.635,-4.436,0.436
-11.166,-4.506,0.436
-10.105,-4.401,0.48
-8.301,-3.993,0.48
-7.935,-4.383,0.469
-8.269,-2.896,0.48
-9.829,-3.481,0.872
-9.832,-4.164,0.927
-8.556,-3.085,0.768
-6.826,-2.896,0.608
-6.38,-2.871,0.49
-5.308,-2.691,0.48
-6.379,-2.479,0.49
-6.326,-3.033,0.529
-6.449,-3.067,0.819
-7.379,-2.991,0.806
-7.655,-2.58,0.787
-6.967,-3.67,0.574
-8.202,-2.21,0.48
-7.511,-2.706,0.48
-7.695,-2.347,0.48
-7.436,-2.766,0.48
-7.463,-2.239,0.49
-5.995,-2.671,0.48
-5.823,-2.583,0.49
-6.317,-2.884,0.49
-6.273,-3.568,0.831
-5.653,-2.314,0.849
-4.858,-2.433,0.849
-2.707,-2.567,0.671
-4.254,-1.002,0.574
-2.458,-1.431,0.656
-3.809,-0.967,0.5
-3.438,-1.352,0.557
-2.416,-1.422,0.6
-2.405,-1.819,0.707
-2.576,-1.85,0.707
-3.334,-2.689,0.927
-4.061,-1.726,0.927
-4.138,-1.802,0.883
-3.798,-2.065,0.539
-2.094,-1.229,0.583
-2.476,-1.726,0.583
-2.211,-1.631,0.721
-1.851,-1.395,0.843
0.066,-1.505,0.49
-0.508,-1.608,0.48
-1.649,-0.608,0.49
0.358,-0.475,0.49
-0.466,-1.37,0.566
-1.718,-1.223,0.714
-1.025,-1.569,0.714
-1.539,-1.147,0.748
-1.122,-1.801,0.5
-1.193,-0.878,0.548
-0.345,-1.44,0.548
0.59,-1.32,0.592
1.604,-0.426,0.529
0.714,-1.73,0.5
0.384,-1.83,0.529
1.351,-0.893,0.49
0.376,-0.305,0.49
-1.683,-0.556,0.707
-0.104,0.765,0.574
0.643,0.048,0.5
1.426,-1.082,0.5
2.598,-0.932,0.5
2.205,0.035,0.592
0.476,0.138,0.548
1.402,-0.513,0.548
2.109,-0.439,0.5
2.285,-0.248,0.5
0.677,1.195,0.5
2.01,-1.506,0.5
0.079,-0.388,0.5
0.467,-0.354,0.51
2.19,0.031,0.51
1.043,-0.677,0.721
2.126,1.016,0.825
2.916,1.064,0.866
3.119,0.724,0.954
1.459,0.626,0.985
2.229,0.786,0.975
2.664,0.56,0.943
3.089,0.615,0.529
3.082,0.857,0.5
2.678,0.165,0.5
3.633,0.836,0.539
1.182,1.728,0.539
0.125,1.236,0.539
3.053,0.257,0.742
0.016,1.103,0.943
1.978,1.761,0.954
3.637,0.519,0.872
4.008,-0.563,0.7
2.004,1.315,0.693
2.638,1.537,0.7
3.154,0.464,0.837
1.653,0.604,0.748
1.581,0.558,0.748
0.539,1.411,0.663
3.25,0.743,0.755
4.11,0.992,0.693
3.611,2.759,0.592
3.394,-0.29,0.616
3.657,0.997,0.616
1.716,0.116,0.648
2.833,0.999,0.6
2.38,0.636,0.648
1.83,-0.003,0.768
4.39,1.008,0.624
5.094,0.207,0.624
6.456,0.781,0.616
4.981,0.346,0.98
2.631,0.251,1.01
2.116,-0.079,0.938
6.18,0.905,0.9
3.471,1.341,0.8
4.691,1.425,0.825
2.865,1.54,0.781
3.045,1.985,0.663
4.374,0.45,0.64
4.121,1.379,0.64
4.646,0.499,0.819
5.177,1.198,0.806
5.693,1.009,0.728
4.658,1.176,0.995
5.585,2.158,0.51
5.17,2.202,0.843
5.513,2.375,0.86
4.453,1.257,0.86
5.415,0.96,0.837
3.566,1.508,0.686
4.536,2.801,0.632
4.879,2.711,0.678
5.484,2.152,0.663
3.666,1.508,0.678
4.456,1.527,0.648
4.783,1.486,0.883
0.943,1.165,0.883
4.218,1.279,0.922
6.581,1.104,0.922
4.455,0.879,0.693
4.777,1.682,0.693
4.886,1.677,0.877
6.204,2.21,0.7
6.161,1.088,0.877
5.032,2.775,0.648
5.754,1.505,0.7
7.392,2.979,0.806
5.542,1.844,0.927
1.665,2.114,0.64
5.307,1.5,0.678
4.591,1.304,0.7
4.714,1.241,0.7
6.148,2.927,0.678
6.928,1.42,0.7
4.71,1.52,0.693
8.003,2.525,0.693
5.369,2.534,0.728
4.967,2.568,0.877
5.394,2.818,0.877
6.51,2.832,0.678
6.767,3.351,0.686
6.228,4.064,0.686
6.7,2.946,0.806
6.79,3.567,0.755
7.435,2.559,0.831
7.701,3.604,0.7
6.49,2.359,0.7
8.724,2.182,1.105
8.115,2.323,0.975
6.939,2.112,0.975
6.134,1.91,0.7
6.815,1.768,0.7
6.572,3.163,0.7
3.949,3.282,0.927
4.806,2.27,0.949
7.352,2.667,0.933
4.97,3.419,0.975
5.399,4.273,0.97
6.695,3.492,0.975
8.059,3.125,0.877
7.725,4.524,0.849
9.309,3.73,0.7
8.33,3.493,0.787
4.989,1.754,0.762
2.812,3.33,0.806
3.006,3.166,0.707
6.879,3.093,0.866
5.924,3.255,0.843
6.076,3.146,0.707
8.41,3.042,0.707
2.715,3.077,0.794
7.582,2.652,0.794
3.308,1.976,0.7
6.423,2.645,0.906
4.07,2.883,0.877
5.709,2.292,0.872
8.116,2.379,0.906
4.32,1.856,1.068
4.742,2.618,0.995
7.235,1.688,0.964
6.849,1.988,1.072
7.413,2.91,1.131
7.774,2.978,0.922
7.124,2.87,0.837
10.233,3.372,0.938
4.774,3.645,0.872
4.882,3.599,0.872
7.549,3.302,0.8
5.683,3.751,0.927
8.911,2.842,0.98
8.294,2.589,0.883
7.279,2.828,0.866
5.733,1.226,0.877
4.755,1.826,0.854
5.287,1.612,0.854
6.031,1.993,0.854
8.741,2.843,1.077
5.303,3.43,1.204
5.693,4.128,1.162
5.204,2.585,0.707
9.664,2.477,0.819
5.425,0.939,0.819
6.355,2.511,1.212
4.499,3.826,0.748
6.701,4.332,0.707
6.693,2.041,0.99
3.39,2.685,0.854
5.062,2.224,0.854
7.35,2.006,0.97
7.424,1.915,1.082
7.83,1.639,1.166
9.201,1.688,0.975
5.697,3.341,0.943
3.514,1.69,0.812
3.886,3.307,0.7
7.165,1.735,0.849
6.68,2.167,0.889
7.073,1.488,0.954
7.93,0.938,0.922
7.294,1.549,0.911
5.117,2.481,1.015
4.294,2.532,0.995
7.919,2.488,0.995
7.618,3.146,0.995
7.921,2.627,0.97
9.446,2.875,0.943
8.878,2.814,0.959
8.335,3.064,0.959
6.765,2.803,0.97
9.407,3.476,0.97
8.327,2.754,0.933
8.115,1.96,0.949
8.083,1.944,0.954
4.763,2.338,0.949
5.269,2.114,0.943
10.253,1.987,0.943
5.154,0.936,0.97
6.429,2.885,0.954
6.848,2.039,0.964
8.1,2.65,0.97
6.682,2.42,0.995
6.932,2.673,0.99
7.191,2.237,0.995
7.691,2.051,0.959
5.782,3.615,0.959
6.213,3.229,0.943
8.344,2.076,0.975
6.62,3.137,0.98
7.556,2.777,1.196
8.357,3.087,1.131
7.98,2.747,0.97
9.362,2.661,0.954
9.672,2.899,0.933
10.197,2.487,0.933
4.701,2.967,0.949
5.741,2.786,0.959
7.104,1.126,0.943
7.097,1.946,0.927
9.349,2.106,1.0
6.985,1.599,1.0
4.361,3.459,0.964
8.591,3.397,0.975
6.917,2.678,0.959
2.374,5.192,0.959
5.007,4.55,0.975
7.492,2.383,0.933
6.803,2.192,0.985
6.498,2.71,0.975
9.099,3.175,0.975
3.584,3.954,0.985
6.452,4.11,0.985
8.577,3.38,0.995
9.567,3.139,0.995
7.178,2.619,1.217
8.498,2.541,1.179
4.792,1.091,0.985
6.467,4.059,0.985
8.182,2.702,0.995
6.922,1.939,0.99
5.6,4.208,0.975
8.487,1.851,0.959
6.806,1.84,1.054
9.193,2.142,1.0
6.744,2.635,0.99
4.858,2.775,1.02
4.885,2.721,1.196
5.427,3.066,1.109
9.106,2.7,1.109
6.62,3.793,1.212
7.099,3.65,1.212
7.941,2.872,0.995
8.793,2.035,0.985
8.977,2.463,0.959
5.335,4.28,0.964
5.709,4.155,0.97
5.676,1.68,0.995
8.511,2.425,1.208
8.879,2.462,1.109
9.46,3.141,0.98
-9.541,-2.532,0.49
-8.118,-2.754,0.48
-4.165,-2.914,0.49
-7.825,-3.209,0.5
-3.98,-2.348,0.98
-3.438,-1.772,0.748
-3.223,-1.339,0.748
-2.557,-1.878,0.656
-2.994,-2.929,0.762
-4.43,-1.973,0.768
-3.853,-2.419,0.5
-2.706,-2.077,0.5
-1.114,-0.912,0.49
3.188,0.287,0.693
0.857,-0.269,0.693
1.455,0.162,0.678
1.915,-0.373,0.5
0.274,0.245,0.49
1.159,-0.253,0.49
1.103,1.729,0.707
2.245,0.614,0.954
3.837,-0.044,0.949
2.168,-0.635,0.755
4.625,0.603,0.742
3.663,0.464,0.714
2.819,0.188,0.933
2.789,1.174,0.959
2.791,1.488,0.954
5.527,-0.243,1.049
5.224,0.738,0.995
4.841,1.643,0.671
3.696,1.339,0.64
2.997,0.473,0.648
6.903,1.684,0.866
4.193,2.622,1.179
6.262,2.173,0.98
6.421,2.175,1.204
4.499,2.388,1.204
0.659,2.102,0.975
1.538,0.814,0.975
7.383,2.418,0.877
7.197,1.643,0.837
6.367,1.722,0.748
4.735,2.362,0.854
4.41,1.823,0.889
6.685,2.233,0.768
7.802,2.197,0.775
9.292,2.148,0.866
8.693,3.3,0.866
7.924,2.872,0.825
7.436,1.663,0.819
4.275,2.524,0.794
6.312,2.039,0.794
9.912,2.477,0.98
6.959,4.32,0.775
5.712,4.031,0.693
4.537,3.464,0.7
4.841,3.326,0.906
2.518,3.177,0.938
5.0,1.785,0.843
5.499,2.102,0.949
7.297,2.804,0.949
9.339,2.251,0.922
9.223,2.161,0.975
